nome,cpf,bloco,apartamento,telefone,email
Bruno Oliveira Souza,90293699044,6,303,11910034566,bruno.oliveira@email.com
Aline Costa Melo,31090395872,12,303,11974230844,aline.costa@email.com
Bruno Santos Pereira,01316213726,5,401,11983465558,bruno.santos@email.com
Camila Santos Pereira,26220779228,2,502,11947904078,camila.santos@email.com
Maria Costa Costa,92040284922,4,203,11989659796,maria.costa@email.com
Rafael Ferreira Santos,38072076195,13,304,11939102190,rafael.ferreira@email.com
Patrícia Ferreira Silva,38145915372,2,503,11974746012,patrícia.ferreira@email.com
Carlos Souza Silva,19357180752,12,401,11940263394,carlos.souza@email.com
Patrícia Souza Ribeiro,00415710523,1,204,11983636107,patrícia.souza@email.com
Patrícia Silva Souza,75332795730,14,101,11951026876,patrícia.silva@email.com
Paula Ferreira Ferreira,24205982171,9,104,11937396301,paula.ferreira@email.com
Rafael Costa Souza,94012905815,7,101,11911354409,rafael.costa@email.com
Marcos Lima Pereira,80704074104,14,202,11995900446,marcos.lima@email.com
Paula Santos Alves,37902650111,12,303,11977648182,paula.santos@email.com
Fernanda Santos Silva,34194969184,1,403,11997294218,fernanda.santos@email.com
José Souza Ferreira,52968148462,1,404,11957772547,josé.souza@email.com
Juliana Melo Pereira,19412700048,10,204,11944393467,juliana.melo@email.com
Ana Oliveira Oliveira,44780725216,13,303,11934134651,ana.oliveira@email.com
Paula Pereira Ferreira,69873607236,8,304,11960384783,paula.pereira@email.com
Marcos Alves Ferreira,45088868256,9,404,11997535465,marcos.alves@email.com
Juliana Silva Souza,71128365955,5,504,11950514624,juliana.silva@email.com
João Ferreira Souza,30818395971,14,501,11963731571,joão.ferreira@email.com
Pedro Ferreira Alves,10804867692,14,103,11956196524,pedro.ferreira@email.com
Maria Ferreira Souza,77777819850,15,502,11974121125,maria.ferreira@email.com
Lucas Barbosa Souza,68483183319,1,301,11912414698,lucas.barbosa@email.com
Ana Lima Melo,31892684243,2,303,11951000731,ana.lima@email.com
João Alves Alves,20285851892,2,103,11979026507,joão.alves@email.com
